TaskID,TaskType,SourceRegion,ExecRegion,ArrivalHour,StartHour,Duration_h,FinishHour,GPU_Demand,PowerRate_MW_per_GPU,GPU_h,IT_MWh,MaxLatency_ms,ActualLatency_ms,LatestFinishHour
47,BatchInference,RegionB,RegionB,1096,1096,3.933333333333333,1099.9333333333334,6.0,0.1,23.599999999999998,2.36,80.0,5.0,2406.0
48,RealTimeInference,RegionB,RegionB,864,864,2.3333333333333335,866.3333333333334,5.0,0.08,11.666666666666668,0.9333333333333335,20.0,5.0,867.0
49,AITraining,RegionE,RegionE,1288,1288,3.783333333333333,1291.7833333333333,16.0,0.16,60.53333333333333,9.685333333333332,150.0,5.0,2406.0
50,RealTimeInference,RegionC,RegionC,2044,2044,6.133333333333334,2050.133333333333,7.0,0.08,42.93333333333334,3.434666666666667,20.0,5.0,2051.0
51,BatchInference,RegionF,RegionF,1879,1880,0.4,1880.4,12.0,0.1,4.800000000000001,0.4800000000000001,80.0,5.0,2406.0
52,RealTimeInference,RegionA,RegionA,1084,1084,6.483333333333333,1090.4833333333333,2.0,0.08,12.966666666666667,1.0373333333333334,20.0,5.0,1091.0
53,RealTimeInference,RegionA,RegionA,1010,1010,1.2,1011.2,5.0,0.08,6.0,0.48,20.0,5.0,1012.0
54,AITraining,RegionD,RegionD,2299,2299,4.166666666666667,2303.1666666666665,111.0,0.16,462.50000000000006,74.00000000000001,150.0,5.0,2406.0
55,AITraining,RegionE,RegionE,1076,1076,1.75,1077.75,67.0,0.16,117.25,18.76,150.0,5.0,2406.0
56,AITraining,RegionE,RegionF,2394,2394,4.0,2398.0,19.0,0.16,76.0,12.16,150.0,18.0,2406.0
57,BatchInference,RegionE,RegionE,2390,2390,3.0,2393.0,16.0,0.1,48.0,4.800000000000001,80.0,5.0,2406.0
58,BatchInference,RegionF,RegionF,1482,1482,2.816666666666667,1484.8166666666666,7.0,0.1,19.71666666666667,1.971666666666667,80.0,5.0,2406.0
59,RealTimeInference,RegionA,RegionA,566,566,4.2,570.2,7.0,0.08,29.400000000000002,2.3520000000000003,20.0,5.0,571.0
60,AITraining,RegionD,RegionD,2021,2021,1.25,2022.25,101.0,0.16,126.25,20.2,150.0,5.0,2406.0
61,RealTimeInference,RegionB,RegionB,192,192,1.1833333333333333,193.18333333333334,2.0,0.08,2.3666666666666667,0.18933333333333335,20.0,5.0,194.0
62,RealTimeInference,RegionB,RegionB,626,626,4.883333333333334,630.8833333333333,1.0,0.08,4.883333333333334,0.3906666666666667,20.0,5.0,631.0
63,AITraining,RegionE,RegionE,655,655,0.8833333333333333,655.8833333333333,43.0,0.16,37.983333333333334,6.077333333333334,150.0,5.0,2406.0
64,AITraining,RegionF,RegionF,1729,1729,5.666666666666667,1734.6666666666667,99.0,0.16,561.0,89.76,150.0,5.0,2406.0
65,AITraining,RegionA,RegionA,260,260,4.0,264.0,107.0,0.16,428.0,68.48,150.0,5.0,2406.0
66,BatchInference,RegionA,RegionA,1563,1563,6.433333333333334,1569.4333333333334,4.0,0.1,25.733333333333334,2.5733333333333337,80.0,5.0,2406.0
67,AITraining,RegionD,RegionD,1917,1917,2.1666666666666665,1919.1666666666667,42.0,0.16,91.0,14.56,150.0,5.0,2406.0
68,AITraining,RegionD,RegionD,1029,1029,4.466666666666667,1033.4666666666667,92.0,0.16,410.93333333333334,65.74933333333334,150.0,5.0,2406.0
69,AITraining,RegionE,RegionE,47,47,2.433333333333333,49.43333333333333,118.0,0.16,287.1333333333333,45.94133333333333,150.0,5.0,2406.0
70,AITraining,RegionF,RegionF,469,469,3.9,472.9,77.0,0.16,300.3,48.048,150.0,5.0,2406.0
71,AITraining,RegionF,RegionF,2199,2199,3.0166666666666666,2202.016666666667,66.0,0.16,199.1,31.855999999999998,150.0,5.0,2406.0
72,BatchInference,RegionA,RegionA,1393,1393,6.383333333333334,1399.3833333333334,18.0,0.1,114.9,11.490000000000002,80.0,5.0,2406.0
73,RealTimeInference,RegionA,RegionA,1202,1202,2.033333333333333,1204.0333333333333,1.0,0.08,2.033333333333333,0.16266666666666665,20.0,5.0,1205.0
74,BatchInference,RegionC,RegionC,647,647,1.0166666666666666,648.0166666666667,20.0,0.1,20.333333333333332,2.033333333333333,80.0,5.0,2406.0
75,BatchInference,RegionD,RegionD,13,13,6.583333333333333,19.583333333333332,15.0,0.1,98.75,9.875,80.0,5.0,2406.0
76,AITraining,RegionE,RegionE,1078,1078,2.033333333333333,1080.0333333333333,18.0,0.16,36.599999999999994,5.855999999999999,150.0,5.0,2406.0
77,AITraining,RegionF,RegionF,731,731,3.2666666666666666,734.2666666666667,71.0,0.16,231.93333333333334,37.10933333333333,150.0,5.0,2406.0
78,AITraining,RegionA,RegionA,435,435,3.816666666666667,438.81666666666666,17.0,0.16,64.88333333333334,10.381333333333334,150.0,5.0,2406.0
79,AITraining,RegionD,RegionD,1222,1222,3.8833333333333333,1225.8833333333334,69.0,0.16,267.95,42.872,150.0,5.0,2406.0
80,AITraining,RegionD,RegionD,2079,2079,2.25,2081.25,112.0,0.16,252.0,40.32,150.0,5.0,2406.0
81,AITraining,RegionD,RegionD,814,814,3.0166666666666666,817.0166666666667,17.0,0.16,51.28333333333333,8.205333333333334,150.0,5.0,2406.0
82,RealTimeInference,RegionB,RegionB,1531,1531,3.45,1534.45,2.0,0.08,6.9,0.552,20.0,5.0,1535.0
83,RealTimeInference,RegionC,RegionC,2209,2209,3.533333333333333,2212.5333333333333,7.0,0.08,24.733333333333334,1.9786666666666668,20.0,5.0,2213.0
84,AITraining,RegionF,RegionF,2,4,4.4,8.4,71.0,0.16,312.40000000000003,49.98400000000001,150.0,5.0,2406.0
85,AITraining,RegionB,RegionB,1327,1327,5.566666666666666,1332.5666666666666,53.0,0.16,295.0333333333333,47.20533333333333,150.0,5.0,2406.0
86,BatchInference,RegionB,RegionB,79,79,3.45,82.45,23.0,0.1,79.35000000000001,7.935000000000001,80.0,5.0,2406.0
87,RealTimeInference,RegionB,RegionB,1486,1486,4.15,1490.15,6.0,0.08,24.900000000000002,1.9920000000000002,20.0,5.0,1491.0
88,BatchInference,RegionC,RegionC,980,980,3.5,983.5,19.0,0.1,66.5,6.65,80.0,5.0,2406.0
89,RealTimeInference,RegionC,RegionC,986,986,5.583333333333333,991.5833333333334,4.0,0.08,22.333333333333332,1.7866666666666666,20.0,5.0,992.0
90,AITraining,RegionF,RegionF,322,322,2.6166666666666667,324.6166666666667,95.0,0.16,248.58333333333334,39.77333333333333,150.0,5.0,2406.0
91,RealTimeInference,RegionF,RegionF,1990,1990,5.916666666666667,1995.9166666666667,4.0,0.08,23.666666666666668,1.8933333333333335,20.0,5.0,1996.0
92,RealTimeInference,RegionA,RegionA,2181,2181,2.6166666666666667,2183.616666666667,3.0,0.08,7.85,0.628,20.0,5.0,2184.0
93,RealTimeInference,RegionA,RegionA,525,525,2.283333333333333,527.2833333333333,7.0,0.08,15.983333333333333,1.2786666666666666,20.0,5.0,528.0
94,AITraining,RegionD,RegionD,1946,1946,6.15,1952.15,54.0,0.16,332.1,53.136,150.0,5.0,2406.0
95,AITraining,RegionE,RegionE,676,676,2.6666666666666665,678.6666666666666,16.0,0.16,42.666666666666664,6.826666666666666,150.0,5.0,2406.0
96,BatchInference,RegionE,RegionE,2161,2161,4.533333333333333,2165.5333333333333,13.0,0.1,58.93333333333333,5.8933333333333335,80.0,5.0,2406.0
97,AITraining,RegionF,RegionF,1733,1733,2.0166666666666666,1735.0166666666667,31.0,0.16,62.516666666666666,10.002666666666666,150.0,5.0,2406.0
98,RealTimeInference,RegionA,RegionA,2208,2208,6.3,2214.3,1.0,0.08,6.3,0.504,20.0,5.0,2215.0
99,AITraining,RegionD,RegionD,823,823,4.383333333333334,827.3833333333333,17.0,0.16,74.51666666666668,11.92266666666667,150.0,5.0,2406.0
100,AITraining,RegionD,RegionD,1276,1276,0.7666666666666667,1276.7666666666667,27.0,0.16,20.700000000000003,3.3120000000000007,150.0,5.0,2406.0
101,BatchInference,RegionC,RegionC,1529,1529,1.8,1530.8,12.0,0.1,21.6,2.16,80.0,5.0,2406.0
102,BatchInference,RegionD,RegionD,2119,2119,3.6166666666666667,2122.616666666667,22.0,0.1,79.56666666666666,7.956666666666667,80.0,5.0,2406.0
103,BatchInference,RegionE,RegionE,495,495,2.683333333333333,497.68333333333334,6.0,0.1,16.099999999999998,1.6099999999999999,80.0,5.0,2406.0
104,RealTimeInference,RegionF,RegionF,920,920,2.0833333333333335,922.0833333333334,6.0,0.08,12.5,1.0,20.0,5.0,923.0
105,RealTimeInference,RegionA,RegionA,1384,1384,1.8833333333333333,1385.8833333333334,3.0,0.08,5.65,0.452,20.0,5.0,1386.0
106,RealTimeInference,RegionA,RegionA,2268,2268,1.8,2269.8,4.0,0.08,7.2,0.5760000000000001,20.0,5.0,2270.0
107,RealTimeInference,RegionB,RegionB,902,902,6.55,908.55,1.0,0.08,6.55,0.524,20.0,5.0,909.0
108,RealTimeInference,RegionB,RegionB,290,290,3.3833333333333333,293.3833333333333,6.0,0.08,20.3,1.624,20.0,5.0,294.0
109,AITraining,RegionE,RegionE,241,241,3.6166666666666667,244.61666666666667,69.0,0.16,249.55,39.928000000000004,150.0,5.0,2406.0
110,RealTimeInference,RegionC,RegionC,276,276,2.8333333333333335,278.8333333333333,5.0,0.08,14.166666666666668,1.1333333333333335,20.0,5.0,279.0
111,RealTimeInference,RegionA,RegionA,1353,1353,4.766666666666667,1357.7666666666667,4.0,0.08,19.066666666666666,1.5253333333333334,20.0,5.0,1358.0
112,RealTimeInference,RegionA,RegionA,2105,2105,2.4,2107.4,4.0,0.08,9.6,0.768,20.0,5.0,2108.0
113,RealTimeInference,RegionB,RegionB,1140,1140,2.283333333333333,1142.2833333333333,3.0,0.08,6.85,0.5479999999999999,20.0,5.0,1143.0
114,AITraining,RegionE,RegionE,1988,1988,6.333333333333333,1994.3333333333333,48.0,0.16,304.0,48.64,150.0,5.0,2406.0
115,RealTimeInference,RegionC,RegionC,2208,2208,4.116666666666666,2212.116666666667,6.0,0.08,24.699999999999996,1.9759999999999998,20.0,5.0,2213.0
116,RealTimeInference,RegionC,RegionC,2338,2338,3.9833333333333334,2341.983333333333,6.0,0.08,23.9,1.912,20.0,5.0,2342.0
117,AITraining,RegionF,RegionF,1936,1936,4.55,1940.55,124.0,0.16,564.1999999999999,90.27199999999999,150.0,5.0,2406.0
118,RealTimeInference,RegionA,RegionA,1937,1937,3.9166666666666665,1940.9166666666667,3.0,0.08,11.75,0.9400000000000001,20.0,5.0,1941.0
119,BatchInference,RegionB,RegionB,779,779,6.266666666666667,785.2666666666667,4.0,0.1,25.066666666666666,2.506666666666667,80.0,5.0,2406.0
120,RealTimeInference,RegionB,RegionB,397,397,5.433333333333334,402.43333333333334,1.0,0.08,5.433333333333334,0.4346666666666667,20.0,5.0,403.0
121,AITraining,RegionE,RegionE,1765,1765,0.21666666666666667,1765.2166666666667,63.0,0.16,13.65,2.184,150.0,5.0,2406.0
122,BatchInference,RegionD,RegionD,1734,1734,0.9666666666666667,1734.9666666666667,6.0,0.1,5.8,0.58,80.0,5.0,2406.0
123,BatchInference,RegionE,RegionE,1912,1912,3.816666666666667,1915.8166666666666,20.0,0.1,76.33333333333334,7.633333333333335,80.0,5.0,2406.0
124,AITraining,RegionA,RegionA,221,221,0.9166666666666666,221.91666666666666,45.0,0.16,41.25,6.6000000000000005,150.0,5.0,2406.0
125,AITraining,RegionD,RegionD,403,403,6.483333333333333,409.48333333333335,21.0,0.16,136.15,21.784000000000002,150.0,5.0,2406.0
126,RealTimeInference,RegionA,RegionA,1649,1649,4.816666666666666,1653.8166666666666,1.0,0.08,4.816666666666666,0.3853333333333333,20.0,5.0,1654.0
127,AITraining,RegionD,RegionD,1389,1389,3.1666666666666665,1392.1666666666667,108.0,0.16,342.0,54.72,150.0,5.0,2406.0
128,RealTimeInference,RegionB,RegionB,1018,1018,2.0833333333333335,1020.0833333333334,7.0,0.08,14.583333333333334,1.1666666666666667,20.0,5.0,1021.0
129,RealTimeInference,RegionC,RegionC,779,779,2.8333333333333335,781.8333333333334,7.0,0.08,19.833333333333336,1.586666666666667,20.0,5.0,782.0
130,AITraining,RegionF,RegionF,1837,1837,0.45,1837.45,82.0,0.16,36.9,5.904,150.0,5.0,2406.0
131,RealTimeInference,RegionA,RegionA,1728,1728,1.1166666666666667,1729.1166666666666,1.0,0.08,1.1166666666666667,0.08933333333333333,20.0,5.0,1730.0
132,RealTimeInference,RegionA,RegionA,1140,1140,4.816666666666666,1144.8166666666666,3.0,0.08,14.45,1.156,20.0,5.0,1145.0
133,BatchInference,RegionB,RegionB,1023,1023,5.85,1028.85,21.0,0.1,122.85,12.285,80.0,5.0,2406.0
134,RealTimeInference,RegionB,RegionB,1815,1815,2.2666666666666666,1817.2666666666667,7.0,0.08,15.866666666666667,1.2693333333333334,20.0,5.0,1818.0
135,AITraining,RegionE,RegionE,401,401,6.583333333333333,407.5833333333333,42.0,0.16,276.5,44.24,150.0,5.0,2406.0
136,RealTimeInference,RegionC,RegionC,2214,2214,1.8833333333333333,2215.883333333333,2.0,0.08,3.7666666666666666,0.30133333333333334,20.0,5.0,2216.0
137,RealTimeInference,RegionA,RegionA,382,382,5.133333333333334,387.1333333333333,1.0,0.08,5.133333333333334,0.41066666666666674,20.0,5.0,388.0
138,RealTimeInference,RegionA,RegionA,681,681,0.8,681.8,6.0,0.08,4.800000000000001,0.38400000000000006,20.0,5.0,682.0
139,BatchInference,RegionB,RegionB,1989,1989,0.5833333333333334,1989.5833333333333,13.0,0.1,7.583333333333334,0.7583333333333334,80.0,5.0,2406.0
140,BatchInference,RegionC,RegionC,875,875,0.36666666666666664,875.3666666666667,6.0,0.1,2.1999999999999997,0.21999999999999997,80.0,5.0,2406.0
141,BatchInference,RegionD,RegionD,240,240,0.75,240.75,10.0,0.1,7.5,0.75,80.0,5.0,2406.0
142,RealTimeInference,RegionC,RegionC,1552,1552,5.5,1557.5,5.0,0.08,27.5,2.2,20.0,5.0,1558.0
143,RealTimeInference,RegionD,RegionD,1599,1599,2.5166666666666666,1601.5166666666667,6.0,0.08,15.1,1.208,20.0,5.0,1602.0
144,BatchInference,RegionA,RegionA,1863,1863,2.533333333333333,1865.5333333333333,15.0,0.1,38.0,3.8000000000000003,80.0,5.0,2406.0
145,BatchInference,RegionB,RegionB,1732,1732,4.95,1736.95,5.0,0.1,24.75,2.475,80.0,5.0,2406.0
146,AITraining,RegionD,RegionD,2276,2276,5.85,2281.85,102.0,0.16,596.6999999999999,95.472,150.0,5.0,2406.0
147,AITraining,RegionE,RegionE,1993,1993,3.25,1996.25,66.0,0.16,214.5,34.32,150.0,5.0,2406.0
148,RealTimeInference,RegionC,RegionC,777,777,2.2333333333333334,779.2333333333333,7.0,0.08,15.633333333333333,1.2506666666666666,20.0,5.0,780.0
149,BatchInference,RegionE,RegionE,891,891,2.9833333333333334,893.9833333333333,20.0,0.1,59.66666666666667,5.966666666666668,80.0,5.0,2406.0
150,RealTimeInference,RegionF,RegionF,2372,2372,1.05,2373.05,6.0,0.08,6.300000000000001,0.5040000000000001,20.0,5.0,2374.0
151,AITraining,RegionC,RegionC,2220,2220,1.8333333333333333,2221.8333333333335,122.0,0.16,223.66666666666666,35.78666666666667,150.0,5.0,2406.0
152,RealTimeInference,RegionA,RegionA,1284,1284,1.0333333333333334,1285.0333333333333,1.0,0.08,1.0333333333333334,0.08266666666666668,20.0,5.0,1286.0
153,RealTimeInference,RegionB,RegionB,205,205,1.8666666666666667,206.86666666666667,4.0,0.08,7.466666666666667,0.5973333333333334,20.0,5.0,207.0
154,AITraining,RegionE,RegionE,1952,1952,6.233333333333333,1958.2333333333333,83.0,0.16,517.3666666666667,82.77866666666667,150.0,5.0,2406.0
155,AITraining,RegionF,RegionF,2175,2175,6.066666666666666,2181.0666666666666,111.0,0.16,673.4,107.744,150.0,5.0,2406.0
156,RealTimeInference,RegionD,RegionD,232,232,5.283333333333333,237.28333333333333,7.0,0.08,36.983333333333334,2.958666666666667,20.0,5.0,238.0
157,AITraining,RegionB,RegionB,328,328,6.316666666666666,334.31666666666666,31.0,0.16,195.81666666666666,31.330666666666666,150.0,5.0,2406.0
158,RealTimeInference,RegionA,RegionA,280,280,2.6,282.6,4.0,0.08,10.4,0.8320000000000001,20.0,5.0,283.0
159,AITraining,RegionD,RegionD,278,278,5.466666666666667,283.46666666666664,32.0,0.16,174.93333333333334,27.989333333333335,150.0,5.0,2406.0
160,AITraining,RegionE,RegionE,963,963,1.1166666666666667,964.1166666666667,34.0,0.16,37.96666666666667,6.074666666666667,150.0,5.0,2406.0
161,BatchInference,RegionD,RegionD,491,491,2.1,493.1,8.0,0.1,16.8,1.6800000000000002,80.0,5.0,2406.0
162,AITraining,RegionF,RegionF,1008,1008,2.2666666666666666,1010.2666666666667,77.0,0.16,174.53333333333333,27.925333333333334,150.0,5.0,2406.0
163,AITraining,RegionF,RegionF,162,172,2.3,174.3,24.0,0.16,55.199999999999996,8.831999999999999,150.0,5.0,2406.0
164,AITraining,RegionC,RegionC,335,335,0.16666666666666666,335.1666666666667,73.0,0.16,12.166666666666666,1.9466666666666665,150.0,5.0,2406.0
165,BatchInference,RegionB,RegionB,2390,2390,1.75,2391.75,18.0,0.1,31.5,3.1500000000000004,80.0,5.0,2406.0
166,AITraining,RegionD,RegionD,2141,2141,4.1,2145.1,63.0,0.16,258.29999999999995,41.327999999999996,150.0,5.0,2406.0
167,BatchInference,RegionD,RegionD,1068,1068,3.3,1071.3,4.0,0.1,13.2,1.32,80.0,5.0,2406.0
168,RealTimeInference,RegionC,RegionC,1286,1286,1.3,1287.3,7.0,0.08,9.1,0.728,20.0,5.0,1288.0
169,RealTimeInference,RegionC,RegionC,1087,1087,1.4166666666666667,1088.4166666666667,6.0,0.08,8.5,0.68,20.0,5.0,1089.0
170,BatchInference,RegionA,RegionA,536,536,1.5833333333333333,537.5833333333334,19.0,0.1,30.083333333333332,3.0083333333333333,80.0,5.0,2406.0
171,AITraining,RegionD,RegionD,1228,1228,3.816666666666667,1231.8166666666666,72.0,0.16,274.8,43.968,150.0,5.0,2406.0
172,BatchInference,RegionB,RegionB,1295,1295,1.7166666666666666,1296.7166666666667,8.0,0.1,13.733333333333333,1.3733333333333333,80.0,5.0,2406.0
173,RealTimeInference,RegionB,RegionB,38,38,3.55,41.55,6.0,0.08,21.299999999999997,1.7039999999999997,20.0,5.0,42.0
174,BatchInference,RegionD,RegionD,2306,2306,5.833333333333333,2311.8333333333335,19.0,0.1,110.83333333333333,11.083333333333334,80.0,5.0,2406.0
175,RealTimeInference,RegionC,RegionC,300,300,4.383333333333334,304.3833333333333,7.0,0.08,30.683333333333337,2.454666666666667,20.0,5.0,305.0
176,AITraining,RegionF,RegionF,873,873,0.5333333333333333,873.5333333333333,109.0,0.16,58.13333333333333,9.301333333333334,150.0,5.0,2406.0
177,AITraining,RegionC,RegionC,1086,1086,5.566666666666666,1091.5666666666666,25.0,0.16,139.16666666666666,22.266666666666666,150.0,5.0,2406.0
178,RealTimeInference,RegionA,RegionA,1429,1429,3.15,1432.15,4.0,0.08,12.6,1.008,20.0,5.0,1433.0
179,RealTimeInference,RegionB,RegionB,1000,1000,4.316666666666666,1004.3166666666667,7.0,0.08,30.216666666666665,2.417333333333333,20.0,5.0,1005.0
180,BatchInference,RegionD,RegionD,1167,1167,1.75,1168.75,22.0,0.1,38.5,3.85,80.0,5.0,2406.0
181,RealTimeInference,RegionC,RegionC,1794,1794,0.21666666666666667,1794.2166666666667,1.0,0.08,0.21666666666666667,0.017333333333333336,20.0,5.0,1795.0
182,AITraining,RegionF,RegionF,1239,1239,5.75,1244.75,31.0,0.16,178.25,28.52,150.0,5.0,2406.0
183,AITraining,RegionA,RegionA,2166,2166,6.55,2172.55,17.0,0.16,111.35,17.816,150.0,5.0,2406.0
184,RealTimeInference,RegionA,RegionA,2271,2271,2.683333333333333,2273.6833333333334,3.0,0.08,8.049999999999999,0.6439999999999999,20.0,5.0,2274.0
185,BatchInference,RegionB,RegionB,424,424,2.8666666666666667,426.8666666666667,15.0,0.1,43.0,4.3,80.0,5.0,2406.0
186,RealTimeInference,RegionB,RegionB,1083,1083,3.1333333333333333,1086.1333333333334,4.0,0.08,12.533333333333333,1.0026666666666666,20.0,5.0,1087.0
187,RealTimeInference,RegionB,RegionB,438,438,5.533333333333333,443.53333333333336,3.0,0.08,16.6,1.328,20.0,5.0,444.0
188,AITraining,RegionF,RegionF,2266,2266,2.95,2268.95,80.0,0.16,236.0,37.76,150.0,5.0,2406.0
189,RealTimeInference,RegionE,RegionE,1115,1115,0.8833333333333333,1115.8833333333334,2.0,0.08,1.7666666666666666,0.14133333333333334,20.0,5.0,1116.0
190,BatchInference,RegionA,RegionA,862,862,1.7333333333333334,863.7333333333333,16.0,0.1,27.733333333333334,2.7733333333333334,80.0,5.0,2406.0
