Hour,Region,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW,ChargePower_MW,DischargePower_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,SOC_MWh,NetGridImport_MW,Cost_CNY,CarbonEmission_tCO2
51,RegionA,403.2,544.32,722.35,476.81,0.0,0.6805,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,157.5,0.0,0.0,0.0
52,RegionA,403.2000003333,544.320000449955,800.0,476.76,0.0,0.6724,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,255.67999955004495,157.5,0.0,0.0,0.0
53,RegionA,403.2,544.32,877.65,476.7,0.0,0.6618,544.32,0.0,0.0,0.0,0.0,0.0,0.0,333.3299999999999,157.5,0.0,0.0,0.0
54,RegionA,403.1999996667,544.319999550045,950.0,476.63,0.0,0.6496,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,405.68000044995495,157.5,0.0,0.0,0.0
55,RegionA,403.2000003333,544.320000449955,1012.13,733.16,0.0,0.6364,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,467.80999955004495,157.5,0.0,0.0,0.0
56,RegionA,403.20000000000005,544.32,1059.81,733.03,0.0,0.6233,544.32,0.0,0.0,0.0,0.0,0.0,0.0,515.4899999999999,157.5,0.0,0.0,0.0
57,RegionA,403.2,544.32,1089.78,732.89,0.0,0.6109,544.32,0.0,0.0,0.0,0.0,0.0,0.0,545.4599999999999,157.5,0.0,0.0,0.0
58,RegionA,403.20000000000005,544.32,1100.0,732.74,0.0,0.6003,544.32,0.0,0.0,0.0,0.0,0.0,0.0,555.68,157.5,0.0,0.0,0.0
59,RegionA,361.30000033330003,487.7550004499551,1089.78,732.57,0.0,0.592,487.7550004499551,0.0,0.0,0.0,0.0,0.0,0.0,602.0249995500449,157.5,0.0,0.0,0.0
60,RegionA,347.5999996667,469.25999955004505,1059.81,732.39,0.0,0.5866,469.25999955004505,0.0,0.0,0.0,0.0,0.0,0.0,590.550000449955,157.5,0.0,0.0,0.0
61,RegionA,344.62000033329997,465.23700044995496,1012.13,732.19,0.0,0.5845,465.23700044995496,0.0,0.0,0.0,0.0,0.0,0.0,546.892999550045,157.5,0.0,0.0,0.0
62,RegionA,328.961,444.09735000000006,950.0,731.99,0.0,0.5857,444.09735000000006,0.0,0.0,0.0,0.0,0.0,0.0,505.90264999999994,157.5,0.0,0.0,0.0
63,RegionA,307.1970003333,414.7159504499551,877.65,731.77,0.0,0.5902,414.7159504499551,0.0,0.0,0.0,0.0,0.0,0.0,462.9340495500449,157.5,0.0,0.0,0.0
64,RegionA,243.49200000000002,328.71420000000006,800.0,731.55,0.0,0.5976,328.71420000000006,0.0,0.0,0.0,0.0,0.0,0.0,471.28579999999994,157.5,0.0,0.0,0.0
65,RegionA,245.00000033330002,330.75000044995505,722.35,1060.4,0.0,0.6073,330.75000044995505,0.0,0.0,0.0,0.0,0.0,0.0,391.59999955004497,157.5,0.0,0.0,0.0
66,RegionA,227.5099996667,307.138499550045,650.0,1060.05,0.0,0.6188,307.138499550045,0.0,0.0,0.0,0.0,0.0,0.0,342.861500449955,157.5,0.0,0.0,0.0
67,RegionA,194.69,262.8315,587.87,1059.68,0.0,0.631,262.8315,0.0,0.0,0.0,0.0,0.0,0.0,325.0385,157.5,0.0,0.0,0.0
68,RegionA,252.9400003333,341.469000449955,540.19,1059.29,0.0,0.6433,341.469000449955,0.0,0.0,0.0,0.0,0.0,0.0,198.72099955004506,157.5,0.0,0.0,0.0
69,RegionA,251.35,339.3225,510.22,1058.9,0.0,0.6547,339.3225,0.0,0.0,0.0,0.0,0.0,0.0,170.89750000000004,157.5,0.0,0.0,0.0
70,RegionA,266.6299996667,359.950499550045,500.0,656.99,0.0,0.6644,359.950499550045,0.0,0.0,0.0,0.0,0.0,0.0,140.04950044995502,157.5,0.0,0.0,0.0
71,RegionA,348.2100003333,470.083500449955,510.22,656.73,0.0,0.6716,470.083500449955,0.0,0.0,0.0,0.0,0.0,0.0,40.136499550045016,157.5,0.0,0.0,0.0
72,RegionA,340.0000003333,459.00000044995505,540.19,474.12,0.0,0.676,459.00000044995505,0.0,0.0,0.0,0.0,0.0,0.0,81.189999550045,157.5,0.0,0.0,0.0
73,RegionA,393.7,531.495,587.87,473.92,0.0,0.677,531.495,0.0,0.0,0.0,0.0,0.0,0.0,56.375,157.5,0.0,0.0,0.0
74,RegionA,403.2000003333,544.320000449955,650.0,473.72,0.0,0.6747,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,105.67999955004495,157.5,0.0,0.0,0.0
75,RegionA,403.20000000000005,544.32,722.35,473.51,0.0,0.6691,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,157.5,0.0,0.0,0.0
76,RegionA,403.2,544.32,800.0,473.31,0.0,0.6606,544.32,0.0,0.0,0.0,0.0,0.0,0.0,255.67999999999995,157.5,0.0,0.0,0.0
77,RegionA,403.2,544.32,877.65,473.1,0.0,0.6496,544.32,0.0,0.0,0.0,0.0,0.0,0.0,333.3299999999999,157.5,0.0,0.0,0.0
78,RegionA,403.2000003333,544.320000449955,950.0,472.88,0.0,0.637,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,405.67999955004495,157.5,0.0,0.0,0.0
79,RegionA,403.1999996667,544.319999550045,1012.13,727.18,0.0,0.6235,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,467.81000044995494,157.5,0.0,0.0,0.0
80,RegionA,403.2000003333,544.320000449955,1059.81,726.85,0.0,0.6099,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,515.4899995500449,157.5,0.0,0.0,0.0
81,RegionA,403.1999996667,544.319999550045,1089.78,726.51,0.0,0.5973,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,545.4600004499549,157.5,0.0,0.0,0.0
82,RegionA,403.2,544.32,1100.0,726.18,0.0,0.5863,544.32,0.0,0.0,0.0,0.0,0.0,0.0,555.68,157.5,0.0,0.0,0.0
83,RegionA,390.64,527.364,1089.78,725.84,0.0,0.5777,527.364,0.0,0.0,0.0,0.0,0.0,0.0,562.4159999999999,157.5,0.0,0.0,0.0
84,RegionA,369.8199996667,499.25699955004507,1059.81,725.5,0.0,0.5721,499.25699955004507,0.0,0.0,0.0,0.0,0.0,0.0,560.5530004499549,157.5,0.0,0.0,0.0
85,RegionA,340.60000033330004,459.8100004499551,1012.13,725.16,0.0,0.5697,459.8100004499551,0.0,0.0,0.0,0.0,0.0,0.0,552.3199995500449,157.5,0.0,0.0,0.0
86,RegionA,303.88,410.238,950.0,724.82,0.0,0.5707,410.238,0.0,0.0,0.0,0.0,0.0,0.0,539.762,157.5,0.0,0.0,0.0
87,RegionA,279.88,377.838,877.65,724.48,0.0,0.575,377.838,0.0,0.0,0.0,0.0,0.0,0.0,499.81199999999995,157.5,0.0,0.0,0.0
88,RegionA,246.9299996667,333.35549955004507,800.0,724.14,0.0,0.5822,333.35549955004507,0.0,0.0,0.0,0.0,0.0,0.0,466.64450044995493,157.5,0.0,0.0,0.0
89,RegionA,224.7100003333,303.35850044995505,722.35,1049.53,0.0,0.5917,303.35850044995505,0.0,0.0,0.0,0.0,0.0,0.0,418.991499550045,157.5,0.0,0.0,0.0
90,RegionA,227.8699996667,307.624499550045,650.0,1049.05,0.0,0.603,307.624499550045,0.0,0.0,0.0,0.0,0.0,0.0,342.375500449955,157.5,0.0,0.0,0.0
91,RegionA,223.6200003333,301.887000449955,587.87,1048.57,0.0,0.6152,301.887000449955,0.0,0.0,0.0,0.0,0.0,0.0,285.982999550045,157.5,0.0,0.0,0.0
92,RegionA,251.32999999999998,339.2955,540.19,1048.1,0.0,0.6274,339.2955,0.0,0.0,0.0,0.0,0.0,0.0,200.89450000000005,157.5,0.0,0.0,0.0
93,RegionA,272.94,368.469,510.22,1047.64,0.0,0.6387,368.469,0.0,0.0,0.0,0.0,0.0,0.0,141.75100000000003,157.5,0.0,0.0,0.0
94,RegionA,290.95,392.7825,500.0,649.97,0.0,0.6483,392.7825,0.0,0.0,0.0,0.0,0.0,0.0,107.21749999999997,157.5,0.0,0.0,0.0
95,RegionA,335.3800003333,452.76300044995503,510.22,649.7,0.0,0.6555,452.76300044995503,0.0,0.0,0.0,0.0,0.0,0.0,57.456999550045,157.5,0.0,0.0,0.0
96,RegionA,344.9100003333,465.628500449955,540.19,469.03,0.0,0.6598,465.628500449955,0.0,0.0,0.0,0.0,0.0,0.0,74.56149955004503,157.5,0.0,0.0,0.0
97,RegionA,402.75999966669997,543.725999550045,587.87,468.83,0.0,0.6609,543.725999550045,0.0,0.0,0.0,0.0,0.0,0.0,44.144000449955,157.5,0.0,0.0,0.0
98,RegionA,381.9299996667,515.605499550045,650.0,468.65,0.0,0.6586,515.605499550045,0.0,0.0,0.0,0.0,0.0,0.0,134.394500449955,157.5,0.0,0.0,0.0
99,RegionA,403.2,544.32,722.35,468.46,0.0,0.6531,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,157.5,0.0,0.0,0.0
100,RegionA,403.1999996667,544.319999550045,800.0,468.28,0.0,0.6446,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,255.68000044995495,157.5,0.0,0.0,0.0
101,RegionA,403.19999966669997,544.3199995500449,877.65,468.11,0.0,0.6338,544.3199995500449,0.0,0.0,0.0,0.0,0.0,0.0,333.33000044995504,157.5,0.0,0.0,0.0
102,RegionA,403.2000003333,544.320000449955,950.0,467.95,0.0,0.6212,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,405.67999955004495,157.5,0.0,0.0,0.0
103,RegionA,403.1999996667,544.319999550045,1012.13,719.67,0.0,0.6079,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,467.81000044995494,157.5,0.0,0.0,0.0
104,RegionA,403.2,544.32,1059.81,719.43,0.0,0.5945,544.32,0.0,0.0,0.0,0.0,0.0,0.0,515.4899999999999,157.5,0.0,0.0,0.0
105,RegionA,403.1999996667,544.319999550045,1089.78,719.2,0.0,0.582,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,545.4600004499549,157.5,0.0,0.0,0.0
106,RegionA,403.1999996667,544.319999550045,1100.0,718.99,0.0,0.5713,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,555.680000449955,157.5,0.0,0.0,0.0
107,RegionA,393.05000033330003,530.6175004499551,1089.78,718.78,0.0,0.5629,530.6175004499551,0.0,0.0,0.0,0.0,0.0,0.0,559.1624995500449,157.5,0.0,0.0,0.0
108,RegionA,350.28000000000003,472.87800000000004,1059.81,718.59,0.0,0.5575,472.87800000000004,0.0,0.0,0.0,0.0,0.0,0.0,586.9319999999999,157.5,0.0,0.0,0.0
109,RegionA,336.45000033329995,454.207500449955,1012.13,718.4,0.0,0.5554,454.207500449955,0.0,0.0,0.0,0.0,0.0,0.0,557.922499550045,157.5,0.0,0.0,0.0
110,RegionA,293.53000000000003,396.2655000000001,950.0,718.23,0.0,0.5567,396.2655000000001,0.0,0.0,0.0,0.0,0.0,0.0,553.7344999999999,157.5,0.0,0.0,0.0
111,RegionA,280.2419996667,378.326699550045,877.65,718.08,0.0,0.5613,378.326699550045,0.0,0.0,0.0,0.0,0.0,0.0,499.32330044995496,157.5,0.0,0.0,0.0
112,RegionA,236.29000033330001,318.991500449955,800.0,717.93,0.0,0.5688,318.991500449955,0.0,0.0,0.0,0.0,0.0,0.0,481.008499550045,157.5,0.0,0.0,0.0
113,RegionA,229.6099996667,309.973499550045,722.35,1040.81,0.0,0.5788,309.973499550045,0.0,0.0,0.0,0.0,0.0,0.0,412.376500449955,157.5,0.0,0.0,0.0
114,RegionA,234.54999966670002,316.64249955004504,650.0,1040.64,0.0,0.5904,316.64249955004504,0.0,0.0,0.0,0.0,0.0,0.0,333.35750044995496,157.5,0.0,0.0,0.0
115,RegionA,254.14000000000001,343.08900000000006,587.87,1040.48,0.0,0.603,343.08900000000006,0.0,0.0,0.0,0.0,0.0,0.0,244.78099999999995,157.5,0.0,0.0,0.0
116,RegionA,217.1000003333,293.085000449955,540.19,1040.35,0.0,0.6155,293.085000449955,0.0,0.0,0.0,0.0,0.0,0.0,247.10499955004508,157.5,0.0,0.0,0.0
117,RegionA,247.7,334.395,510.22,1040.24,0.0,0.6272,334.395,0.0,0.0,0.0,0.0,0.0,0.0,175.82500000000005,157.5,0.0,0.0,0.0
118,RegionA,309.32,417.582,500.0,645.61,0.0,0.6373,417.582,0.0,0.0,0.0,0.0,0.0,0.0,82.418,157.5,0.0,0.0,0.0
119,RegionA,348.0499996667,469.867499550045,510.22,645.56,0.0,0.645,469.867499550045,0.0,0.0,0.0,0.0,0.0,0.0,40.352500449955016,157.5,0.0,0.0,0.0
120,RegionA,345.01,465.7635,540.19,466.22,0.0,0.6498,465.7635,0.0,0.0,0.0,0.0,0.0,0.0,74.42650000000003,157.5,0.0,0.0,0.0
121,RegionA,395.36000033330004,533.7360004499551,587.87,466.2,0.0,0.6513,533.7360004499551,0.0,0.0,0.0,0.0,0.0,0.0,54.133999550044905,157.5,0.0,0.0,0.0
122,RegionA,403.19999966669997,544.3199995500449,650.0,466.2,0.0,0.6495,544.3199995500449,0.0,0.0,0.0,0.0,0.0,0.0,105.68000044995506,157.5,0.0,0.0,0.0
123,RegionA,403.1999996667,544.319999550045,722.35,466.21,0.0,0.6445,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,178.03000044995497,157.5,0.0,0.0,0.0
124,RegionA,403.2000003333,544.320000449955,800.0,466.22,0.0,0.6365,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,255.67999955004495,157.5,0.0,0.0,0.0
125,RegionA,403.2,544.32,877.65,466.25,0.0,0.6262,544.32,0.0,0.0,0.0,0.0,0.0,0.0,333.3299999999999,157.5,0.0,0.0,0.0
126,RegionA,403.2000003333,544.320000449955,950.0,466.29,0.0,0.6142,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,405.67999955004495,157.5,0.0,0.0,0.0
127,RegionA,403.1999996667,544.319999550045,1012.13,717.43,0.0,0.6014,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,467.81000044995494,157.5,0.0,0.0,0.0
128,RegionA,403.2,544.32,1059.81,717.52,0.0,0.5886,544.32,0.0,0.0,0.0,0.0,0.0,0.0,515.4899999999999,157.5,0.0,0.0,0.0
129,RegionA,403.2,544.32,1089.78,717.62,0.0,0.5767,544.32,0.0,0.0,0.0,0.0,0.0,0.0,545.4599999999999,157.5,0.0,0.0,0.0
130,RegionA,401.88,542.538,1100.0,717.73,0.0,0.5665,542.538,0.0,0.0,0.0,0.0,0.0,0.0,557.462,157.5,0.0,0.0,0.0
131,RegionA,401.17000033330004,541.579500449955,1089.78,717.86,0.0,0.5588,541.579500449955,0.0,0.0,0.0,0.0,0.0,0.0,548.2004995500449,157.5,0.0,0.0,0.0
132,RegionA,362.0199996667,488.72699955004504,1059.81,718.01,0.0,0.554,488.72699955004504,0.0,0.0,0.0,0.0,0.0,0.0,571.0830004499549,157.5,0.0,0.0,0.0
133,RegionA,347.4910003333,469.11285044995503,1012.13,718.17,0.0,0.5524,469.11285044995503,0.0,0.0,0.0,0.0,0.0,0.0,543.0171495500449,157.5,0.0,0.0,0.0
134,RegionA,311.0079996667,419.86079955004504,950.0,718.34,0.0,0.5543,419.86079955004504,0.0,0.0,0.0,0.0,0.0,0.0,530.139200449955,157.5,0.0,0.0,0.0
135,RegionA,284.27000000000004,383.76450000000006,877.65,718.53,0.0,0.5595,383.76450000000006,0.0,0.0,0.0,0.0,0.0,0.0,493.8854999999999,157.5,0.0,0.0,0.0
136,RegionA,226.6899996667,306.031499550045,800.0,718.73,0.0,0.5676,306.031499550045,0.0,0.0,0.0,0.0,0.0,0.0,493.968500449955,157.5,0.0,0.0,0.0
137,RegionA,227.7100003333,307.408500449955,722.35,1042.47,0.0,0.5782,307.408500449955,0.0,0.0,0.0,0.0,0.0,0.0,414.941499550045,157.5,0.0,0.0,0.0
138,RegionA,228.39999966669998,308.339999550045,650.0,1042.81,0.0,0.5904,308.339999550045,0.0,0.0,0.0,0.0,0.0,0.0,341.660000449955,157.5,0.0,0.0,0.0
139,RegionA,225.9499996667,305.03249955004503,587.87,1043.16,0.0,0.6036,305.03249955004503,0.0,0.0,0.0,0.0,0.0,0.0,282.837500449955,157.5,0.0,0.0,0.0
140,RegionA,227.6599996667,307.340999550045,540.19,1043.53,0.0,0.6167,307.340999550045,0.0,0.0,0.0,0.0,0.0,0.0,232.84900044995504,157.5,0.0,0.0,0.0
141,RegionA,273.00000033329997,368.55000044995495,510.22,1043.92,0.0,0.6291,368.55000044995495,0.0,0.0,0.0,0.0,0.0,0.0,141.66999955004508,157.5,0.0,0.0,0.0
142,RegionA,300.8000003333,406.080000449955,500.0,648.21,0.0,0.6397,406.080000449955,0.0,0.0,0.0,0.0,0.0,0.0,93.91999955004502,157.5,0.0,0.0,0.0
143,RegionA,327.8999996667,442.664999550045,510.22,648.47,0.0,0.648,442.664999550045,0.0,0.0,0.0,0.0,0.0,0.0,67.555000449955,157.5,0.0,0.0,0.0
144,RegionA,347.99,469.78650000000005,540.19,468.54,0.0,0.6534,469.78650000000005,0.0,0.0,0.0,0.0,0.0,0.0,70.40350000000001,157.5,0.0,0.0,0.0
145,RegionA,360.7200003333,486.97200044995503,587.87,468.75,0.0,0.6555,486.97200044995503,0.0,0.0,0.0,0.0,0.0,0.0,100.89799955004497,157.5,0.0,0.0,0.0
146,RegionA,403.20000000000005,544.32,650.0,468.96,0.0,0.6543,544.32,0.0,0.0,0.0,0.0,0.0,0.0,105.67999999999995,157.5,0.0,0.0,0.0
147,RegionA,403.2000003333,544.320000449955,722.35,469.19,0.0,0.6498,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,178.02999955004498,157.5,0.0,0.0,0.0
