Hour,Region,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,AvailableRenewable_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,GridPurchase_MW,GridSell_MW,Curtailment_MW,RenewableCharge_MW,GridCharge_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,NetGridImport_MW,CarbonEmission_tCO2,IT_Load_MW,DirectRenewable_MW,Cost_CNY
3,RegionD,98.3156666667,310.994333,722.35,280.05,218.44,0.4505,397.1712,180.0,328.0559,25.1485,62.4,87.5485,0.0,900.0,217.1712,178.9256,409.3099996667,189.1456,71908.59456000001
3,RegionE,45.76,390.24,722.35,247.48,193.03,0.236,302.85,203.1861,166.2432,53.1707,57.6,110.7707,0.0,820.0,99.6639,71.4726,436.0,299.75,35728.305116999996
3,RegionF,99.52,331.53,722.35,260.51,203.2,0.2789,269.1439,168.9866,138.2618,76.8121,60.0,136.8121,0.0,846.4299,100.1573,75.0642,431.04999999999995,338.28950000000003,35776.60026899999
4,RegionA,12.6466666667,390.553333,800.0,469.22,0.0,0.6578,479.0016,0.0,734.6816,0.0,0.0,0.0,0.0,350.0,479.0016,315.0873,403.1999996667,65.3184,224757.130752
4,RegionB,29.2453333333,364.354667,800.0,449.67,0.0,0.6154,451.656,0.0,720.296,0.0,0.0,0.0,0.0,320.0,451.656,277.9491,393.6000003333,79.70399999999995,203096.15352000002
4,RegionC,33.3,355.5,800.0,436.63,0.0,0.5836,439.9661,0.0,703.4221,0.0,0.0,0.0,0.0,300.0,439.9661,256.7642,388.8,96.5779,192102.398243
4,RegionD,102.1943333333,357.345667,800.0,280.23,218.58,0.4456,374.091,180.0,405.8798,0.0,0.0,0.0,0.0,900.0,194.091,166.695,459.5400003333,214.1202,65487.12093000001
4,RegionE,69.0916666667,376.258333,800.0,247.64,193.16,0.2334,250.5094,220.0,273.8219,0.0,0.0,0.0,0.0,820.0,30.5094,58.4689,445.3499996667,306.1781,19540.947816
4,RegionF,100.52,339.75,800.0,260.68,203.33,0.2759,220.767,220.0,237.8261,0.0,3.798,3.798,0.0,850.0,0.767,60.9096,440.27,342.1739,12816.941559999992
5,RegionA,13.01,390.19,877.65,469.52,0.0,0.6483,479.0016,0.0,812.3316,0.0,0.0,0.0,0.0,350.0,479.0016,310.5367,403.2,65.3184,224900.831232
5,RegionB,17.4466666667,376.153333,877.65,449.96,0.0,0.6064,451.656,0.0,797.946,0.0,0.0,0.0,0.0,320.0,451.656,273.8842,393.5999996667,79.70399999999995,203227.13376
5,RegionC,26.2726666667,362.527333,877.65,436.91,0.0,0.5751,439.9661,0.0,781.0721,0.0,0.0,0.0,0.0,300.0,439.9661,253.0245,388.7999996667,96.5779,192225.588751
5,RegionD,100.6786666667,359.761333,877.65,280.41,218.72,0.4391,372.0138,180.0,480.3006,0.0,0.0,0.0,0.0,900.0,192.0138,163.3513,460.4399996667,217.3494,64946.789658000016
5,RegionE,53.396,402.854,877.65,247.8,193.28,0.23,256.6406,220.0,343.9781,0.0,0.0,0.0,0.0,820.0,36.6406,59.0273,456.25,313.6719,21073.940680000007
5,RegionF,91.6266666667,374.923333,877.65,260.84,203.46,0.2719,235.5697,220.0,300.7012,0.0,0.0,0.0,0.0,850.0,15.5697,64.0514,466.54999966670005,356.9488,16684.800547999992
6,RegionA,10.7173333333,392.482667,950.0,469.82,0.0,0.637,479.0016,0.0,884.6816,0.0,0.0,0.0,0.0,350.0,479.0016,305.124,403.2000003333,65.3184,225044.531712
6,RegionB,13.705,379.895,950.0,450.24,0.0,0.5959,451.656,0.0,870.296,0.0,0.0,0.0,0.0,320.0,451.656,269.1418,393.59999999999997,79.70399999999995,203353.59744
6,RegionC,32.788,356.012,950.0,437.19,0.0,0.5651,439.9661,0.0,853.4221,0.0,0.0,0.0,0.0,300.0,439.9661,248.6248,388.8,96.5779,192348.779259
6,RegionD,82.5,376.36,950.0,280.59,218.86,0.4315,367.088,180.0,549.7472,0.0,0.0,0.0,0.0,900.0,187.088,158.3985,458.86,220.25279999999998,63606.42191999999
6,RegionE,35.4333333333,438.076667,950.0,247.96,193.41,0.226,266.3494,220.0,404.4619,0.0,0.0,0.0,0.0,820.0,46.3494,60.195,473.5100003333,325.5381,23493.79722400001
6,RegionF,74.4553333333,408.834667,950.0,261.01,203.59,0.2671,251.6491,220.0,367.8708,0.0,0.0,0.0,0.0,850.0,31.6491,67.2155,483.29000033330004,362.1292,20893.131590999998
7,RegionA,11.8893333333,391.310667,1012.13,723.26,0.0,0.6248,479.0016,0.0,946.8116,0.0,0.0,0.0,0.0,350.0,479.0016,299.2802,403.2000003333,65.3184,346442.697216
7,RegionB,15.5786666667,378.021333,1012.13,693.12,0.0,0.5845,451.656,0.0,932.426,0.0,0.0,0.0,0.0,320.0,451.656,263.9929,393.5999996667,79.70399999999995,313051.80672
7,RegionC,36.5106666667,352.289333,1012.13,673.03,0.0,0.5543,439.9661,0.0,915.5521,0.0,0.0,0.0,0.0,300.0,439.9661,243.8732,388.7999996667,96.5779,296110.38428299996
7,RegionD,107.1676666667,367.372333,1012.13,431.95,336.92,0.4233,375.2371,180.0,599.9559,0.0,0.0,0.0,0.0,900.0,195.2371,158.8379,474.53999966670006,232.17409999999995,101438.06534499998
7,RegionE,39.6973333333,428.322667,1012.13,381.72,297.74,0.2217,236.0064,220.0,443.1114,0.0,0.0,0.0,0.0,820.0,16.0064,52.3226,468.0200003333,349.0186,24585.563008000012
7,RegionF,77.69,371.44,1012.13,401.81,313.41,0.262,242.1161,220.0,463.851,0.0,0.0,0.0,0.0,850.0,22.1161,63.4344,449.13,328.279,28334.470140999983
8,RegionA,23.38,379.82,1059.81,723.71,0.0,0.6126,479.0016,0.0,994.4916,0.0,0.0,0.0,0.0,350.0,479.0016,293.4364,403.2,65.3184,346658.247936
8,RegionB,16.2946666667,377.305333,1059.81,693.56,0.0,0.5731,451.656,0.0,980.106,0.0,0.0,0.0,0.0,320.0,451.656,258.8441,393.5999996667,79.70399999999995,313250.53536
8,RegionC,37.0533333333,351.746667,1059.81,673.45,0.0,0.5435,439.9661,0.0,963.2321,0.0,0.0,0.0,0.0,300.0,439.9661,239.1216,388.8000003333,96.5779,296295.17004500004
8,RegionD,89.6326666667,363.737333,1059.81,432.22,337.13,0.415,353.9913,180.0,653.4877,0.0,0.0,0.0,0.0,900.0,173.9913,146.9064,453.3699996667,226.32229999999993,92318.71968600003
8,RegionE,44.3843333333,394.935667,1059.81,381.96,297.93,0.2174,197.694,220.0,488.354,0.0,0.0,0.0,0.0,820.0,-22.306,42.9787,439.3200003333,351.45599999999996,9966.600239999985
8,RegionF,92.3,349.92,1059.81,402.06,313.61,0.2569,247.1125,220.0,525.3031,0.0,0.0,0.0,0.0,850.0,27.1125,63.4832,442.22,314.5069,30359.85175
9,RegionA,21.2886666667,381.911333,1089.78,724.16,0.0,0.6013,474.7752,0.0,1020.2352,0.0,0.0,0.0,0.0,350.0,474.7752,285.4823,403.1999996667,69.54480000000001,343813.208832
9,RegionB,17.352,376.248,1089.78,693.99,0.0,0.5625,447.5302,0.0,1005.9502,0.0,0.0,0.0,0.0,320.0,447.5302,251.7357,393.59999999999997,83.82979999999998,310581.483498
9,RegionC,29.6393333333,359.160667,1089.78,673.87,0.0,0.5334,435.8,0.0,989.036,0.0,0.0,0.0,0.0,300.0,435.8,232.4557,388.8000003333,100.74400000000003,293672.54600000003
9,RegionD,83.4986666667,344.891333,1089.78,432.48,337.33,0.4074,330.2293,180.0,691.6701,0.0,0.0,0.0,0.0,900.0,150.2293,134.5354,428.38999966669996,218.10989999999993,82098.16766400001
9,RegionE,39.62,413.19,1089.78,382.2,298.12,0.2134,182.664,220.0,486.4315,0.0,0.0,0.0,0.0,820.0,-37.336,38.9805,452.81,383.34849999999994,4227.780799999993
9,RegionF,34.1006666667,402.599333,1089.78,402.31,313.8,0.2522,252.6406,220.0,567.8116,0.0,0.0,0.0,0.0,850.0,32.6406,63.7159,436.6999996667,301.9684,32603.839785999997
10,RegionA,19.4433333333,374.416667,1100.0,724.61,0.0,0.5917,459.93,0.0,1028.219,0.0,0.0,0.0,0.0,350.0,459.93,272.1406,393.86000033330004,71.78099999999995,333269.8773
10,RegionB,14.88,378.72,1100.0,694.41,0.0,0.5535,443.6856,0.0,1012.3256,0.0,0.0,0.0,0.0,320.0,443.6856,245.58,393.6,87.67439999999999,308099.717496
10,RegionC,23.5803333333,365.219667,1100.0,674.29,0.0,0.5249,431.9179,0.0,995.3739,0.0,0.0,0.0,0.0,300.0,431.9179,226.7137,388.80000033330003,104.62609999999995,291237.92079099995
10,RegionD,75.9586666667,347.351333,1100.0,432.75,337.55,0.4008,322.3929,180.0,700.5561,0.0,0.0,0.0,0.0,900.0,142.3929,129.2151,423.30999966670004,219.44389999999999,78756.52747500001
10,RegionE,85.9766666667,340.493333,1100.0,382.43,298.3,0.21,156.7893,220.0,503.7018,0.0,0.0,0.0,0.0,820.0,-63.2107,32.9257,426.4699996667,376.2982,-5665.068001
10,RegionF,52.1466666667,352.333333,1100.0,402.56,314.0,0.2481,241.4341,220.0,607.7445,0.0,0.0,0.0,0.0,850.0,21.4341,59.8998,404.4799996667,272.2555,28111.711295999994
11,RegionA,19.032,355.858,1089.78,725.04,0.0,0.5845,434.6333,0.0,1018.3118,0.0,0.0,0.0,0.0,350.0,434.6333,254.0432,374.89,71.46820000000002,315126.527832
11,RegionB,12.7366666667,380.863333,1089.78,694.83,0.0,0.5468,440.3842,0.0,998.8042,0.0,0.0,0.0,0.0,320.0,440.3842,240.8021,393.5999996667,90.97579999999994,305992.15368600003
11,RegionC,23.062,359.438,1089.78,674.69,0.0,0.5185,421.6396,0.0,983.5696,0.0,0.0,0.0,0.0,300.0,421.6396,218.6201,382.5,106.21039999999994,284476.021724
11,RegionD,77.574,304.246,1089.78,433.01,337.75,0.3959,287.7575,180.0,708.8079,0.0,0.0,0.0,0.0,900.0,107.7575,113.9232,381.82,200.97209999999995,63806.87507499999
11,RegionE,65.36,296.71,1089.78,382.66,298.47,0.2074,124.9745,220.0,542.167,0.0,0.0,0.0,0.0,820.0,-95.0255,25.9197,362.07,327.61299999999994,-17840.657830000004
11,RegionF,48.2986666667,311.191333,1089.78,402.8,314.18,0.2451,220.2529,220.0,633.4806,0.0,0.0,0.0,0.0,850.0,0.2529,53.984,359.4899996667,236.2994,19598.268120000008
12,RegionA,13.9926666667,331.547333,1059.81,725.48,0.0,0.5802,398.382,0.0,991.713,0.0,0.0,0.0,0.0,350.0,398.382,231.1413,345.5399996667,68.09699999999998,289018.17336
12,RegionB,25.9596666667,331.360333,1059.81,695.25,0.0,0.5427,397.492,0.0,974.92,0.0,0.0,0.0,0.0,320.0,397.492,215.7189,357.3199996667,84.88999999999999,276356.313
12,RegionC,12.3666666667,331.413333,1059.81,675.1,0.0,0.5147,376.6957,0.0,962.0893,0.0,0.0,0.0,0.0,300.0,376.6957,193.8853,343.7799996667,97.72069999999997,254307.26707
12,RegionD,81.98,271.27,1059.81,433.27,337.95,0.393,264.0701,180.0,691.7201,0.0,0.0,0.0,0.0,900.0,84.0701,103.7796,353.25,188.08989999999994,53582.65222700001
12,RegionE,69.7226666667,285.225333,1059.81,382.89,298.65,0.2059,119.795,220.0,515.92,0.0,0.0,0.0,0.0,820.0,-100.205,24.6658,354.94799966669996,323.89,-19834.692450000002
12,RegionF,38.6133333333,335.506667,1059.81,403.04,314.37,0.2433,233.7469,220.0,598.4245,0.0,0.0,0.0,0.0,850.0,13.7469,56.8706,374.12000033329997,241.38549999999998,25047.950576000017
13,RegionA,12.84,315.802,1012.13,725.9,0.0,0.5791,377.5702,0.0,946.0335,0.0,0.0,0.0,0.0,350.0,377.5702,218.6509,328.642,66.09649999999999,274078.20818
13,RegionB,24.7466666667,303.576333,1012.13,695.66,0.0,0.5417,363.9066,0.0,932.8006,0.0,0.0,0.0,0.0,320.0,363.9066,197.1282,328.32299966669996,79.32939999999996,253155.26535600002
13,RegionC,18.0513333333,318.768667,1012.13,675.49,0.0,0.5137,367.6763,0.0,914.9947,0.0,0.0,0.0,0.0,300.0,367.6763,188.8753,336.8200003333,97.13530000000003,248361.66388700003
13,RegionD,64.338,289.992,1012.13,433.53,338.15,0.3923,263.5182,180.0,642.1058,0.0,0.0,0.0,0.0,900.0,83.5182,103.3782,354.33000000000004,190.02419999999995,53376.04524599999
13,RegionE,105.3876666667,239.157333,1012.13,383.12,298.83,0.2055,118.9254,220.0,480.3742,0.0,0.0,0.0,0.0,820.0,-101.0746,24.4392,344.5449996667,311.7558,-20179.900751999994
13,RegionF,68.08,282.996,1012.13,403.28,314.56,0.2428,222.0217,220.0,568.2852,0.0,0.0,0.0,0.0,850.0,2.0217,53.9069,351.07599999999996,223.84479999999996,20333.711175999997
14,RegionA,7.1586666667,306.239333,950.0,726.32,0.0,0.5814,359.6242,0.0,886.5369,0.0,0.0,0.0,0.0,350.0,359.6242,209.0855,313.3979996667,63.463100000000054,261202.248944
14,RegionB,25.2306666667,287.683333,950.0,696.06,0.0,0.5439,346.3958,0.0,873.9619,0.0,0.0,0.0,0.0,320.0,346.3958,188.4047,312.9139996667,76.03809999999999,241112.260548
14,RegionC,15.78,295.744,950.0,675.88,0.0,0.5157,339.6234,0.0,859.7203,0.0,0.0,0.0,0.0,300.0,339.6234,175.1438,311.524,90.27970000000005,229544.663592
14,RegionD,95.0806666667,209.709333,950.0,433.78,338.35,0.3938,226.2761,180.0,606.1449,0.0,0.0,0.0,0.0,900.0,46.2761,89.1075,304.7899996667,163.8551,37251.046658
14,RegionE,107.11,212.674,950.0,383.34,299.01,0.2063,117.5668,220.0,447.8368,0.0,0.0,0.0,0.0,820.0,-102.4332,24.254,319.784,282.1632,-20714.142888000002
14,RegionF,67.669,246.254,950.0,403.51,314.74,0.2438,199.3411,220.0,530.6589,0.0,0.0,0.0,0.0,850.0,-20.6589,48.5994,313.923,199.34109999999998,11193.327260999999
15,RegionA,6.628,274.162,877.65,726.74,0.0,0.5869,322.594,0.0,821.1775,0.0,0.0,0.0,0.0,350.0,322.594,189.3304,280.78999999999996,56.47249999999997,234441.96356
15,RegionB,43.4026666667,236.227333,877.65,696.45,0.0,0.5491,309.9363,0.0,810.0858,0.0,0.0,0.0,0.0,320.0,309.9363,170.186,279.6299996667,67.56420000000003,215855.13613500004
15,RegionC,13.6383333333,266.480667,877.65,676.27,0.0,0.5207,305.7809,0.0,796.8667,0.0,0.0,0.0,0.0,300.0,305.7809,159.2201,280.1190003333,80.78329999999994,206790.44924299998
15,RegionD,99.2946666667,204.339333,877.65,434.02,338.54,0.3976,225.8152,180.0,534.8137,0.0,0.0,0.0,0.0,900.0,45.8152,89.7841,303.6339996667,162.83629999999994,37071.113104
15,RegionE,76.4086666667,220.633333,877.65,383.55,299.17,0.2083,119.827,220.0,406.1745,0.0,0.0,0.0,0.0,820.0,-100.173,24.96,297.0419996667,251.47549999999995,-19857.754150000008
15,RegionF,100.36,177.93,877.65,403.74,314.92,0.2461,175.9916,220.0,480.2133,0.0,0.0,0.0,0.0,850.0,-44.0084,43.3115,278.29,177.43669999999997,1772.448583999998
16,RegionA,18.2506666667,229.189333,800.0,727.14,0.0,0.5954,285.28,0.0,751.236,0.0,0.0,0.0,0.0,350.0,285.28,169.8557,247.4399996667,48.76400000000001,207438.49919999996
16,RegionB,55.313,197.768,800.0,696.84,0.0,0.557,281.5339,0.0,739.8745,0.0,0.0,0.0,0.0,320.0,281.5339,156.8144,253.08100000000002,60.12549999999999,196184.08287600003
16,RegionC,9.5333333333,238.387667,800.0,676.64,0.0,0.5282,271.6586,0.0,729.5276,0.0,0.0,0.0,0.0,300.0,271.6586,143.4901,247.9210003333,70.4724,183815.075104
16,RegionD,75.14,186.41,800.0,434.26,338.72,0.4033,195.5203,180.0,480.7363,0.0,0.0,0.0,0.0,900.0,15.5203,78.8533,261.55,139.26369999999997,23937.045477999985
16,RegionE,41.9986666667,227.071333,800.0,383.77,299.34,0.2113,121.0815,220.0,364.744,0.0,0.0,0.0,0.0,820.0,-98.9185,25.5845,269.0699996667,215.25599999999997,-19387.35274499999
16,RegionF,79.9333333333,162.106667,800.0,403.97,315.1,0.2497,151.2244,220.0,423.8336,0.0,0.0,0.0,0.0,850.0,-68.7756,37.7607,242.0400003333,156.1664,-8231.879131999995
17,RegionA,17.3196666667,217.430333,722.35,1054.92,0.0,0.6062,227.1603,0.0,677.5978,0.0,0.0,0.0,45.0,301.087,227.1603,137.7046,234.74999966669998,44.752200000000016,239635.94367600002
17,RegionB,42.8503333333,212.509667,722.35,1010.97,0.0,0.5671,245.2126,0.0,663.3266,0.0,0.0,0.0,40.5,275.9783,245.2126,139.0601,255.3600003333,59.02340000000004,247902.58222200003
17,RegionC,10.745,256.505,722.35,981.67,0.0,0.5378,256.3466,0.0,648.1416,0.0,0.0,0.0,38.25,258.4239,256.3466,137.8632,267.25,74.20839999999998,251647.766822
17,RegionD,73.3846666667,167.765333,722.35,630.02,491.42,0.4107,0.0,180.0,415.42,0.0,0.0,0.0,181.742,704.5785,-180.0,0.0,241.1499996667,126.93,-88455.6
17,RegionE,55.014,219.966,722.35,556.77,434.28,0.2151,0.0,220.0,297.288,0.0,0.0,0.0,138.663,670.9,-220.0,0.0,274.98,205.062,-95541.59999999999
17,RegionF,101.1813333333,160.028667,722.35,586.07,457.13,0.2542,0.0,220.0,330.6518,0.0,0.0,0.0,160.0385,677.9155,-220.0,0.0,261.2100003333,171.69820000000004,-100568.6
18,RegionA,17.6596666667,204.150333,650.0,1055.49,0.0,0.6188,214.0186,0.0,609.5751,0.0,0.0,0.0,45.0,252.1739,214.0186,132.4347,221.80999966669998,40.42489999999998,225894.492114
18,RegionB,57.5853333333,158.044667,650.0,1011.51,0.0,0.5788,202.5689,0.0,601.9684,0.0,0.0,0.0,40.5,231.9565,202.5689,117.2469,215.63000033330002,48.031600000000026,204900.468039
18,RegionC,18.603,193.717,650.0,982.19,0.0,0.5489,197.6163,0.0,592.8647,0.0,0.0,0.0,38.25,216.8478,197.6163,108.4716,212.32000000000002,57.13530000000003,194096.753697
18,RegionD,77.206,128.204,650.0,630.36,491.68,0.4192,0.0,180.0,363.5155,0.0,0.0,0.0,156.4403,536.3632,-180.0,0.0,205.41000000000003,106.48450000000003,-88502.4
18,RegionE,30.5626666667,192.447333,650.0,557.06,434.51,0.2196,0.0,220.0,276.6806,0.0,0.0,0.0,125.4431,536.0149,-220.0,0.0,223.0099996667,153.31939999999997,-95592.2
18,RegionF,84.9973333333,159.312667,650.0,586.38,457.38,0.2595,0.0,220.0,265.5549,0.0,0.0,0.0,145.8286,521.1106,-220.0,0.0,244.31000033330002,164.44510000000002,-100623.6
19,RegionA,58.8706666667,227.419333,587.87,1056.03,0.0,0.6321,292.1116,0.0,538.4901,0.0,0.0,0.0,45.0,203.2609,292.1116,184.6437,286.2899996667,49.37990000000002,308478.612948
19,RegionB,70.6576666667,178.952333,587.87,1012.03,0.0,0.5913,243.311,0.0,534.7075,0.0,0.0,0.0,40.5,187.9348,243.311,143.8698,249.6099996667,53.16250000000002,246238.03133
19,RegionC,19.016,207.644,587.87,982.7,0.0,0.5608,215.8098,0.0,529.139,0.0,0.0,0.0,38.25,175.2717,215.8098,121.0261,226.66,58.730999999999995,212076.29046000002
19,RegionD,86.3243333333,142.655667,587.87,630.69,491.94,0.4282,0.0,180.0,291.2874,0.0,0.0,0.0,176.5118,346.5655,-180.0,0.0,228.98000033329998,116.58260000000001,-88549.2
19,RegionE,13.9893333333,244.270667,587.87,557.35,434.73,0.2243,0.0,220.0,190.3162,0.0,0.0,0.0,145.2712,379.8093,-220.0,0.0,258.2600003333,177.5538,-95640.6
19,RegionF,76.293,137.827,587.87,586.68,457.61,0.2651,0.0,220.0,219.8107,0.0,0.0,0.0,123.8731,387.9136,-220.0,0.0,214.12,148.0593,-100674.2
20,RegionA,58.0036666667,187.096333,540.19,1056.56,0.0,0.6455,246.1788,0.0,500.4838,0.0,0.0,0.0,45.0,154.3478,246.1788,158.9084,245.0999996667,39.70620000000008,260102.67292799999
20,RegionB,59.178,204.582,540.19,1012.54,0.0,0.6038,262.1646,0.0,486.7786,0.0,0.0,0.0,40.5,143.913,262.1646,158.295,263.76,53.41140000000007,265452.14408399997
20,RegionC,16.4906666667,236.909333,540.19,983.19,0.0,0.5726,248.4974,0.0,477.2454,0.0,0.0,0.0,38.25,133.6957,248.4974,142.2896,253.3999996667,62.94460000000004,244320.15870600002
20,RegionD,85.2093333333,132.850667,540.19,631.0,492.18,0.4373,0.0,180.0,251.3344,0.0,0.0,0.0,170.2612,163.4889,-180.0,0.0,218.06000033329997,108.85560000000007,-88592.4
20,RegionE,29.6,204.61,540.19,557.63,434.95,0.229,0.0,208.5438,170.6268,0.0,0.0,0.0,131.7431,238.15,-208.5438,0.0,234.21,161.01940000000002,-90706.12581
20,RegionF,86.648,165.202,540.19,586.98,457.84,0.2707,0.0,198.5909,162.4834,0.0,0.0,0.0,140.7338,236.587,-198.5909,0.0,251.85,179.11570000000003,-90922.857656
21,RegionA,66.149,212.461,510.22,1057.08,0.0,0.658,285.9887,0.0,465.0852,0.0,0.0,0.0,45.0,105.4348,285.9887,188.1806,278.61,45.13480000000004,302312.93499599997
21,RegionB,58.089,219.931,510.22,1013.04,0.0,0.6155,278.5279,0.0,453.921,0.0,0.0,0.0,40.5,99.8913,278.5279,171.434,278.02,56.299000000000035,282159.903816
21,RegionC,11.3266666667,252.873333,510.22,983.67,0.0,0.5837,260.7187,0.0,444.5927,0.0,0.0,0.0,38.25,92.1196,260.7187,152.1815,264.1999996667,65.62730000000005,256461.163629
21,RegionD,89.425,150.805,510.22,631.31,492.42,0.4457,121.6145,180.0,212.6847,0.0,0.0,0.0,68.3447,90.0,-58.3855,54.2036,240.23000000000002,117.53530000000003,-11859.150005000003
21,RegionE,72.112,175.528,510.22,557.9,435.16,0.2335,0.0,186.9821,152.9854,0.0,0.0,0.0,139.2975,88.3678,-186.9821,0.0,247.64,170.25250000000003,-81367.130636
21,RegionF,119.7856666667,136.434333,510.22,587.27,458.07,0.2759,0.0,177.6187,145.3244,0.0,0.0,0.0,138.1226,88.0681,-177.6187,0.0,256.2199996667,187.27690000000004,-81361.797909
22,RegionA,66.5626666667,220.847333,500.0,656.43,0.0,0.6687,341.4431,0.0,399.0268,54.4127,0.0,54.4127,0.0,156.0386,341.4431,228.323,287.4099996667,46.56050000000005,224133.494133
22,RegionB,38.7766666667,275.023333,500.0,629.08,0.0,0.6256,360.0855,0.0,386.9555,49.5,0.0,49.5,0.0,145.9263,360.0855,225.2695,313.7999996667,63.54450000000003,226522.58634000004
22,RegionC,6.6853333333,283.544667,500.0,610.85,0.0,0.5932,328.4243,0.0,381.1569,46.75,0.0,46.75,0.0,135.5971,328.4243,194.8213,290.2300003333,72.09309999999999,200617.98365500002
22,RegionD,96.6213333333,176.678667,500.0,392.04,305.79,0.453,218.64,162.279,132.7738,73.7632,0.0,73.7632,0.0,159.3374,56.361,99.0439,273.3000003333,131.18400000000003,36092.33019
